"Symbol","piotroskiScore","quickRatio","currentRatio","priceToOperatingCashFlowsRatio","ebitda","ROA","ROE","debtEquityRatio","netProfitMargin","interestCoverage"
"JBHT","8","1.07679047243912","1.33450902476888","16.4781198837125","1602623000","0.112029714145363","0.244018890146179","1.17816221354948","6.25235961434882","22.8491192796888"
"HEI","7","1.46937737384699","3.17886937059143","42.2112889933076","461824000","0.0869595790312562","0.134427952105789","0.530901593454205","16.3061014685246","53.9327385037749"
"MGA","5","0.889818286703202","1.29814440919142","7.94238367346939","3.499e+09","0.0520525338650897","0.127914836093275","1.42455221358567","4.1774736493571","24.5641025641026"
"TER","7","2.38123385333863","3.19980499801272","16.9573483687223","1304260000","0.266336520603503","0.395712328916721","0.485760676080245","27.3999893596365","67.3804713804714"
"MRO","8","1.0519242516799","1.11240073304826","4.82064834825563","3.327e+09","0.0556667058961987","0.0885270447314243","0.590305072056897","16.8898410998036","5.08949416342412"
"PWR","4","1.40060790657702","1.49530389009656","23.6796442246604","1106668000","0.0378023224707159","0.095056218325173","1.51365657069097","3.74382146117325","9.6303429657905"
"YUMC","5","1.70499370541334","1.97901804448175","15.5586203448276","1.875e+09","0.0748695454889208","0.14030612244898","0.753259637188209","10.047701207754","-1.11111"
"WAT","5",NA,NA,"26.3358184012825","970590000","0.223863723015562","1.88501009375493","7.42034639808028","24.8698613074389","25.1155973958493"
"CFG","5","499.958904109589","2094.97260273973","9.65137618492215","3.941e+09","0.0123083292199417","0.0990179333902647","7.04479077711358","34.8879193621182","0"
"CHKP","6","1.33841481221891","1.365516032942","14.1699535080304","980300000","0.138232602284668","0.250406803598293","0.81148874765896","37.6407605685804",NA
"TS","6","1.43791760304428","3.193786406522","120.210045139618","1908037000","0.0761407836751496","0.0919847686290746","0.195954493169143","16.8709718921666","29.8816995396376"
"AGR","6","0.827275458095524","1.13457494743166","9.10655669442665","1.968e+09","0.0178969218307007","0.0370622772069616","1.02448102327532","10.1376541439633","3.00335570469799"
"TYL","4","1.08579374828963","1.16254350507112","48.517613038765","317903000","0.0341192956030025","0.069473225841985","1.03618581843968","10.1400061672299","7.75753283543652"
"NTAP","6","1.60515643105446","1.73841251448436","12.8853268312078","1.243e+09","0.077991452991453","1.06569343065693","12.6642335766423","12.7089136490251","13.9324324324324"
"TRMB","6","0.799680296146727","1.22042739357227","23.4512058627582","819800000","0.069398275959209","0.124901766927777","0.799781985955839","13.4650597141374","8.57798165137615"
"BR","3","0.85","0.979270186335404","31.3588401476332","974800000","0.0674294300211833","0.302619942516029","3.48806102144594","10.9638144061518","11.8034782608696"
"MGM","7","1.61545889565704","1.86394245182822","14.5009954168563","3457988000","0.0306698560428543","0.206628784914947","4.92902319275794","12.9581803568957","2.84982359775536"
